,Year,state,city_or_county,incident_id,casualty
0,2013,Alabama,Florence,1,4
1,2013,Alabama,Montgomery,1,8
2,2013,Arizona,Apache Junction,1,5
3,2013,Arizona,Avondale,1,4
4,2013,Arizona,Phoenix,3,15
5,2013,California,Bakersfield,1,4
6,2013,California,Brentwood,1,4
7,2013,California,Duarte,1,2
8,2013,California,Fresno,2,17
9,2013,California,Galt,1,7
10,2013,California,Hawthorne,1,4
11,2013,California,Lancaster,1,4
12,2013,California,Long Beach,2,8
13,2013,California,Los Angeles,2,8
14,2013,California,Los Banos,1,4
15,2013,California,Madera,1,4
16,2013,California,Merced (county),1,5
17,2013,California,Modesto,1,4
18,2013,California,Oakland,4,16
19,2013,California,Oceanside,1,4
20,2013,California,Orange (county),1,7
21,2013,California,Palo Alto,1,5
22,2013,California,Perris,1,5
23,2013,California,Roseville,1,4
24,2013,California,Sacramento,1,4
25,2013,California,Salinas,1,7
26,2013,California,San Francisco,2,8
27,2013,California,Santa Monica,1,7
28,2013,California,Stockton,3,15
29,2013,California,Three Rivers,1,4
30,2013,California,Vallejo,4,20
31,2013,California,Yuba (county),1,4
32,2013,Colorado,Aurora,2,8
33,2013,Colorado,Colorado Springs,1,5
34,2013,Connecticut,Bridgeport,1,5
35,2013,Connecticut,Hartford,1,4
36,2013,Connecticut,New Haven,1,6
37,2013,Delaware,Wilmington,3,13
38,2013,District of Columbia,Washington,5,30
39,2013,District of Columbia,Washington Navy Yard,1,14
40,2013,Florida,Belle Glade,1,5
41,2013,Florida,Hialeah,1,7
42,2013,Florida,Homestead (Florida City),1,4
43,2013,Florida,Jacksonville,1,4
44,2013,Florida,Kissimmee,1,5
45,2013,Florida,Lake Butler,1,5
46,2013,Florida,Margate,1,4
47,2013,Florida,Miami,2,8
48,2013,Florida,Miami Gardens,1,4
49,2013,Florida,Palm Beach,1,4
50,2013,Florida,Pompano Beach,1,4
51,2013,Florida,Williston,1,4
52,2013,Georgia,Atlanta,1,4
53,2013,Georgia,Lagrange,1,7
54,2013,Georgia,Macon,1,8
55,2013,Georgia,Moultrie,1,4
56,2013,Georgia,Snellville,1,4
57,2013,Georgia,Valdosta,1,4
58,2013,Illinois,Chicago,15,77
59,2013,Illinois,Chicago (Englewood),1,4
60,2013,Illinois,Manchester,1,7
61,2013,Illinois,Rockford,1,4
62,2013,Indiana,Columbus,1,5
63,2013,Indiana,Fort Wayne,1,2
64,2013,Indiana,Gary,1,6
65,2013,Indiana,Indianapolis,4,16
66,2013,Kansas,Topeka,2,8
67,2013,Kansas,Wichita,2,12
68,2013,Kentucky,Greensburg,1,4
69,2013,Kentucky,Lexington,1,5
70,2013,Kentucky,Radcliff,1,4
71,2013,Louisiana,Charenton,1,5
72,2013,Louisiana,Harvey,1,5
73,2013,Louisiana,Lockport,1,6
74,2013,Louisiana,New Orleans,4,32
75,2013,Louisiana,Shreveport,1,4
76,2013,Louisiana,Slidell,1,8
77,2013,Maryland,Baltimore,5,21
78,2013,Michigan,Detroit,4,24
79,2013,Michigan,Flint,1,4
80,2013,Michigan,Grand Rapids,1,4
81,2013,Michigan,Grand Rapids (Kentwood),1,5
82,2013,Michigan,Inkster,1,4
83,2013,Michigan,Lansing,2,9
84,2013,Michigan,Muskegon,2,10
85,2013,Michigan,Pontiac,1,7
86,2013,Michigan,Saginaw (county),1,4
87,2013,Minnesota,Minneapolis,2,8
88,2013,Mississippi,Jackson,1,4
89,2013,Mississippi,Meridian,1,4
90,2013,Missouri,Kansas City,5,26
91,2013,Missouri,Saint Louis,5,22
92,2013,Nebraska,Omaha,1,4
93,2013,Nevada,Las Vegas,1,4
94,2013,New Jersey,Delanco,1,2
95,2013,New Jersey,Irvington,1,5
96,2013,New Jersey,Jersey City,2,5
97,2013,New Jersey,Lodi,1,1
98,2013,New Jersey,Montclair,1,4
99,2013,New Jersey,Newark,2,10
100,2013,New Jersey,Plainfield,1,1
101,2013,New Jersey,Port Norris,1,4
102,2013,New Jersey,Tabernacle,1,1
103,2013,New Jersey,Trenton,2,6
104,2013,New Jersey,Trenton (Hamilton Township),1,5
105,2013,New Mexico,Albuquerque,1,5
106,2013,New Mexico,Hobbs,1,4
107,2013,New York,Brooklyn,8,41
108,2013,New York,Buffalo,1,4
109,2013,New York,Jamaica,1,1
110,2013,New York,Locust Valley,1,1
111,2013,New York,Medford,1,4
112,2013,New York,Mohawk,1,8
113,2013,New York,New York,1,4
114,2013,New York,New York (Manhattan),1,4
115,2013,New York,Rochester,1,4
116,2013,North Carolina,Charlotte,3,13
117,2013,North Carolina,Greensboro,1,4
118,2013,North Carolina,Greenville,1,5
119,2013,North Carolina,Haw River,1,4
120,2013,North Carolina,High Point,1,5
121,2013,North Carolina,Marion,1,4
122,2013,North Carolina,Shelby,1,4
123,2013,North Carolina,Smithfield,1,4
124,2013,North Carolina,Southern Pines,1,5
125,2013,North Carolina,Statesville,1,4
126,2013,Ohio,Akron,1,4
127,2013,Ohio,Barberton,1,4
128,2013,Ohio,Campbell,1,4
129,2013,Ohio,Canton,1,4
130,2013,Ohio,Cincinnati,1,4
131,2013,Ohio,Lorain,1,4
132,2013,Ohio,Oberlin,1,4
133,2013,Ohio,Springfield,1,4
134,2013,Ohio,Toledo,1,4
135,2013,Ohio,Zanesville,1,4
136,2013,Oklahoma,Oklahoma City,2,8
137,2013,Oklahoma,Tulsa,4,18
138,2013,Pennsylvania,Chester,1,4
139,2013,Pennsylvania,Derry,1,1
140,2013,Pennsylvania,Harrisburg,1,8
141,2013,Pennsylvania,Johnstown,1,4
142,2013,Pennsylvania,Mckeesport,1,4
143,2013,Pennsylvania,Philadelphia,9,29
144,2013,Pennsylvania,Pittsburgh (Homewood),1,7
145,2013,Pennsylvania,Saylorsburg,1,7
146,2013,Pennsylvania,Wilkes Barre,1,1
147,2013,Pennsylvania,York,3,6
148,2013,Rhode Island,Providence,2,8
149,2013,South Carolina,Bradley (Callison),1,5
150,2013,South Carolina,Chesterfield,1,5
151,2013,South Carolina,Greenwood,1,5
152,2013,South Carolina,Latta,1,4
153,2013,South Carolina,North Charleston,1,4
154,2013,Tennessee,Bean Station,1,4
155,2013,Tennessee,Chattanooga,2,9
156,2013,Tennessee,Crab Orchard,1,4
157,2013,Tennessee,Jackson,1,4
